"Name","Symbol","Mass","Abund.","Class"
"Aluminum","Al(27)",26.981541,100,"Al"
"Antimony","Sb(121)",120.903824,57.3,"Sb"
"Antimony","Sb(123)",122.904222,42.7,"Sb"
"Argon","Ar(36)",35.967546,0.34,"Ar"
"Argon","Ar(38)",37.962732,0.063,"Ar"
"Argon","Ar(40)",39.962383,99.6,"Ar"
"Arsenic","As(75)",74.921596,100,"As"
"Barium","Ba(130)",129.906277,0.11,"Ba"
"Barium","Ba(132)",131.905042,0.1,"Ba"
"Barium","Ba(134)",133.90449,2.42,"Ba"
"Barium","Ba(135)",134.905668,6.59,"Ba"
"Barium","Ba(136)",135.904556,7.85,"Ba"
"Barium","Ba(137)",136.905816,11.23,"Ba"
"Barium","Ba(138)",137.905236,71.7,"Ba"
"Beryllium","Be(9)",9.012183,100,"Be"
"Bismuth","Bi(209)",208.980388,100,"Bi"
"Boron","B(10)",10.012938,19.8,"B"
"Boron","B(11)",11.009305,80.2,"B"
"Bromine","Br(79)",78.918336,50.69,"Br"
"Bromine","Br(81)",80.91629,49.31,"Br"
"Calcium","Ca(40)",39.962591,96.95,"Ca"
"Calcium","Ca(42)",41.958622,0.65,"Ca"
"Calcium","Ca(43)",42.95877,0.14,"Ca"
"Calcium","Ca(44)",43.955485,2.086,"Ca"
"Calcium","Ca(46)",45.953689,0.004,"Ca"
"Calcium","Ca(48)",47.952532,0.19,"Ca"
"Cadmium","Cd(106)",105.906461,1.25,"Cd"
"Cadmium","Cd(108)",107.904186,0.89,"Cd"
"Cadmium","Cd(110)",109.903007,12.49,"Cd"
"Cadmium","Cd(111)",110.904182,12.8,"Cd"
"Cadmium","Cd(112)",111.902761,24.13,"Cd"
"Cadmium","Cd(113)",112.904401,12.22,"Cd"
"Cadmium","Cd(114)",113.903361,28.73,"Cd"
"Cadmium","Cd(116)",115.904758,7.49,"Cd"
"Carbon","C(12)",12,98.9,"C"
"Carbon","C(13)",13.003355,1.1,"C"
